gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,14,44,0,2,0,39,79,121,69,39,39,39,0,9,29,39,39,29,29,29,119,159,159,159,139,119,179,139,139,119,99,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,114,59,139,1
0,14,19,0,2,0,39,79,121,119,0,0,79,0,0,29,39,39,29,29,29,119,159,159,159,139,139,159,139,159,99,119,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,153,59,139,1
0,14,24,0,2,0,39,79,121,59,9,29,79,9,9,29,39,39,29,29,29,119,159,159,159,139,139,119,159,139,119,159,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,160,59,139,1
0,14,29,0,3,0,39,79,121,59,19,39,19,19,39,29,39,39,29,29,29,119,159,159,159,139,99,119,139,139,119,119,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,121,59,119,1
0,14,34,0,2,0,39,79,121,99,0,59,19,0,19,29,39,39,29,29,29,119,159,159,159,139,79,179,139,79,119,79,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,124,59,119,0
0,14,59,0,2,0,39,79,121,69,29,49,19,9,19,29,39,39,29,29,29,119,159,159,159,139,139,119,139,79,119,139,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,133,59,119,1
0,14,49,0,2,0,39,79,121,99,0,49,19,0,29,29,39,39,29,29,29,119,159,159,159,139,139,119,159,179,159,159,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,127,59,139,1
0,14,29,0,2,0,39,79,121,199,0,0,0,0,0,29,39,39,29,29,29,119,159,159,159,139,99,119,119,159,199,159,179,39,159,179,19,19,99,19,99,119,179,19,199,199,179,159,19,63,59,119,1
0,29,44,2,2,1,39,99,121,69,39,39,39,0,9,89,9,49,39,0,9,139,99,199,159,59,99,139,159,79,119,59,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,128,79,119,0
0,29,19,2,2,1,39,99,121,119,0,0,79,0,0,89,9,49,39,0,9,139,99,199,159,59,159,99,119,119,179,119,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,118,79,139,0
0,29,19,2,0,0,39,99,121,37,35,37,35,27,23,89,9,49,39,0,9,139,99,199,159,59,99,159,179,119,59,79,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,109,79,119,0
0,29,24,2,2,1,39,99,121,59,9,29,79,9,9,89,9,49,39,0,9,139,99,199,159,59,139,179,139,119,99,139,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,78,79,139,1
0,29,29,2,3,0,39,99,121,59,19,39,19,19,39,89,9,49,39,0,9,139,99,199,159,59,119,159,139,179,139,159,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,131,79,159,0
0,29,34,2,2,1,39,99,121,99,0,59,19,0,19,89,9,49,39,0,9,139,99,199,159,59,159,139,159,59,119,39,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,172,79,119,0
0,29,59,2,2,1,39,99,121,69,29,49,19,9,19,89,9,49,39,0,9,139,99,199,159,59,139,99,179,119,139,179,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,159,79,159,1
0,29,44,2,2,1,39,99,121,66,22,22,22,22,44,89,9,49,39,0,9,139,99,199,159,59,99,159,139,99,179,99,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,106,79,99,0
0,29,49,2,2,1,39,99,121,99,0,49,19,0,29,89,9,49,39,0,9,139,99,199,159,59,139,119,159,179,79,99,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,110,79,99,1
0,29,29,2,2,1,39,99,121,199,0,0,0,0,0,89,9,49,39,0,9,139,99,199,159,59,119,139,159,139,179,159,59,39,139,199,159,119,59,99,159,199,19,179,159,139,159,59,19,139,79,159,1
0,24,44,2,2,1,19,19,121,69,39,39,39,0,9,39,39,39,39,19,19,139,159,179,139,159,79,199,159,99,159,139,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,82,19,119,0
0,24,19,2,2,1,19,19,121,119,0,0,79,0,0,39,39,39,39,19,19,139,159,179,139,159,159,139,159,199,139,159,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,82,19,159,0
0,24,19,2,0,0,19,19,121,37,35,37,35,27,23,39,39,39,39,19,19,139,159,179,139,159,79,139,159,159,119,139,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,104,19,79,0
0,24,24,2,2,1,19,19,121,59,9,29,79,9,9,39,39,39,39,19,19,139,159,179,139,159,159,199,139,199,139,199,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,82,19,159,1
0,24,29,2,3,0,19,19,121,59,19,39,19,19,39,39,39,39,39,19,19,139,159,179,139,159,119,179,159,179,159,179,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,121,19,139,0
0,24,34,2,2,1,19,19,121,99,0,59,19,0,19,39,39,39,39,19,19,139,159,179,139,159,99,199,159,79,159,39,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,136,19,79,0
0,24,59,2,2,1,19,19,121,69,29,49,19,9,19,39,39,39,39,19,19,139,159,179,139,159,139,199,199,139,199,99,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,134,19,99,0
0,24,44,2,2,1,19,19,121,66,22,22,22,22,44,39,39,39,39,19,19,139,159,179,139,159,99,179,179,99,179,139,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,115,19,119,0
0,24,49,2,2,1,19,19,121,99,0,49,19,0,29,39,39,39,39,19,19,139,159,179,139,159,179,159,199,199,139,159,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,52,19,159,1
0,24,29,2,2,1,19,19,121,199,0,0,0,0,0,39,39,39,39,19,19,139,159,179,139,159,159,179,199,199,159,159,19,19,119,139,119,139,139,99,139,139,139,179,139,159,139,19,159,80,19,199,1
0,24,44,0,2,0,19,19,121,69,39,39,39,0,9,19,49,39,49,9,29,99,139,159,179,99,119,179,139,119,139,119,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,132,79,119,1
0,24,19,0,2,0,19,19,121,119,0,0,79,0,0,19,49,39,49,9,29,99,139,159,179,99,119,179,179,119,159,39,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,136,79,139,1
0,24,19,0,0,1,19,19,121,37,35,37,35,27,23,19,49,39,49,9,29,99,139,159,179,99,79,139,179,79,59,39,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,48,79,119,0
0,24,24,0,2,0,19,19,121,59,9,29,79,9,9,19,49,39,49,9,29,99,139,159,179,99,159,119,139,159,39,159,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,111,79,179,1
0,24,29,0,3,0,19,19,121,59,19,39,19,19,39,19,49,39,49,9,29,99,139,159,179,99,99,79,159,159,79,39,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,134,79,79,0
0,24,34,0,2,0,19,19,121,99,0,59,19,0,19,19,49,39,49,9,29,99,139,159,179,99,59,139,119,19,19,19,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,119,79,39,0
0,24,59,0,2,0,19,19,121,69,29,49,19,9,19,19,49,39,49,9,29,99,139,159,179,99,159,159,159,159,59,79,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,146,79,159,1
0,24,44,0,2,0,19,19,121,66,22,22,22,22,44,19,49,39,49,9,29,99,139,159,179,99,79,159,179,39,159,59,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,102,79,99,0
0,24,49,0,2,0,19,19,121,99,0,49,19,0,29,19,49,39,49,9,29,99,139,159,179,99,139,119,159,159,119,179,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,146,79,179,1
0,24,29,0,2,0,19,19,121,199,0,0,0,0,0,19,49,39,49,9,29,99,139,159,179,99,159,179,179,179,199,139,199,159,179,139,159,139,179,39,119,179,39,99,119,119,79,19,19,143,79,179,1
0,19,44,0,2,0,39,79,121,69,39,39,39,0,9,29,29,49,39,29,19,119,119,99,139,139,79,159,159,99,139,79,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,119,139,139,0
0,19,19,0,2,0,39,79,121,119,0,0,79,0,0,29,29,49,39,29,19,119,119,99,139,139,119,119,159,79,179,79,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,121,139,139,0
0,19,19,0,0,1,39,79,121,37,35,37,35,27,23,29,29,49,39,29,19,119,119,99,139,139,59,119,159,139,159,159,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,151,139,139,0
0,19,24,0,2,0,39,79,121,59,9,29,79,9,9,29,29,49,39,29,19,119,119,99,139,139,139,159,159,139,139,119,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,53,139,159,1
0,19,29,0,3,0,39,79,121,59,19,39,19,19,39,29,29,49,39,29,19,119,119,99,139,139,79,139,139,79,159,99,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,72,139,99,0
0,19,34,0,2,0,39,79,121,99,0,59,19,0,19,29,29,49,39,29,19,119,119,99,139,139,79,159,139,79,99,79,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,158,139,99,0
0,19,59,0,2,0,39,79,121,69,29,49,19,9,19,29,29,49,39,29,19,119,119,99,139,139,139,139,159,139,139,139,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,130,139,159,1
0,19,44,0,2,0,39,79,121,66,22,22,22,22,44,29,29,49,39,29,19,119,119,99,139,139,99,139,159,99,179,99,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,107,139,99,0
0,19,49,0,2,0,39,79,121,99,0,49,19,0,29,29,29,49,39,29,19,119,119,99,139,139,119,119,159,159,159,119,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,65,139,119,1
0,19,29,0,2,0,39,79,121,199,0,0,0,0,0,29,29,49,39,29,19,119,119,99,139,139,159,119,139,139,159,119,99,59,79,199,199,199,39,59,159,159,159,199,199,199,199,199,199,84,139,139,1
0,39,44,4,2,0,19,19,132,69,39,39,39,0,9,39,19,39,59,19,19,139,119,199,139,139,159,199,179,159,139,119,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,119,119,99,1
0,39,19,4,2,0,19,19,132,119,0,0,79,0,0,39,19,39,59,19,19,139,119,199,139,139,199,199,199,199,199,199,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,102,119,199,1
0,39,19,4,0,0,19,19,132,37,35,37,35,27,23,39,19,39,59,19,19,139,119,199,139,139,99,199,199,119,119,119,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,168,119,159,1
0,39,24,4,2,0,19,19,132,59,9,29,79,9,9,39,19,39,59,19,19,139,119,199,139,139,199,179,159,159,139,139,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,73,119,139,1
0,39,29,4,3,0,19,19,132,59,19,39,19,19,39,39,19,39,59,19,19,139,119,199,139,139,99,199,159,159,99,99,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,99,119,99,1
0,39,34,4,2,0,19,19,132,99,0,59,19,0,19,39,19,39,59,19,19,139,119,199,139,139,159,179,179,139,119,99,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,142,119,119,1
0,39,59,4,2,0,19,19,132,69,29,49,19,9,19,39,19,39,59,19,19,139,119,199,139,139,119,159,179,119,119,119,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,121,119,139,1
0,39,44,4,2,0,19,19,132,66,22,22,22,22,44,39,19,39,59,19,19,139,119,199,139,139,119,139,159,139,179,119,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,109,119,139,1
0,39,49,4,2,0,19,19,132,99,0,49,19,0,29,39,19,39,59,19,19,139,119,199,139,139,159,99,99,119,99,99,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,64,119,139,1
0,39,29,4,2,0,19,19,132,199,0,0,0,0,0,39,19,39,59,19,19,139,119,199,139,139,139,159,139,159,139,159,79,59,19,159,119,139,39,39,199,159,159,199,199,179,179,159,59,76,119,159,1
1,44,14,2,0,0,139,59,82,29,39,39,29,29,29,69,39,39,39,0,9,159,179,139,159,99,119,159,159,159,159,119,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,114,139,139,0
1,44,29,2,2,1,139,59,82,89,9,49,39,0,9,69,39,39,39,0,9,159,179,139,159,99,159,139,119,179,139,79,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,128,139,139,0
1,44,34,2,2,1,139,59,82,69,19,69,19,19,0,69,39,39,39,0,9,159,179,139,159,99,139,159,119,99,159,79,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,75,139,99,0
1,44,24,2,2,1,139,59,82,39,39,39,39,19,19,69,39,39,39,0,9,159,179,139,159,99,119,139,159,139,139,99,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,82,139,119,0
1,44,14,2,2,1,139,59,82,39,9,49,49,19,29,69,39,39,39,0,9,159,179,139,159,99,119,159,159,159,139,119,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,57,139,119,0
1,44,24,2,0,0,139,59,82,19,49,39,49,9,29,69,39,39,39,0,9,159,179,139,159,99,139,179,159,179,159,79,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,132,139,139,0
1,44,19,2,0,0,139,59,82,29,29,49,39,29,19,69,39,39,39,0,9,159,179,139,159,99,139,159,159,159,139,139,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,119,139,139,0
1,44,34,2,2,1,139,59,82,18,36,54,36,36,18,69,39,39,39,0,9,159,179,139,159,99,159,139,119,119,119,99,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,97,139,139,0
1,44,39,2,4,0,139,59,82,39,19,39,59,19,19,69,39,39,39,0,9,159,179,139,159,99,119,159,139,159,139,99,159,139,39,119,139,99,99,99,79,179,39,79,159,139,159,99,19,119,139,119,0
