gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_parter,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,39,34,3,2,0,19,19,121,59,0,59,59,19,0,59,19,39,39,19,19,179,179,179,179,179,119,159,159,139,139,159,159,99,139,159,119,119,139,139,139,139,59,39,179,139,179,179,39,121,99,139,1
0,64,44,2,2,1,179,99,7,59,39,29,29,15,23,23,49,49,15,29,29,139,199,119,159,159,179,119,119,119,99,59,179,39,199,179,159,159,159,139,139,179,179,179,179,179,179,99,139,76,119,99,0
1,44,49,0,2,0,19,19,69,49,39,39,49,0,19,99,19,19,19,19,19,179,179,179,179,179,199,199,199,199,199,199,179,119,119,119,79,79,159,119,119,159,19,99,59,59,139,39,139,118,99,199,1
0,19,49,2,2,1,79,99,192,49,29,49,29,0,39,39,43,35,29,29,19,119,179,159,139,159,119,159,139,79,139,39,159,179,139,139,139,119,39,39,139,139,139,99,139,119,159,179,99,107,139,119,1
1,44,44,2,0,0,39,59,23,19,39,39,29,39,29,37,25,35,35,19,43,139,159,159,159,119,99,139,179,159,159,159,179,159,119,159,119,59,119,19,179,119,59,39,139,159,199,99,19,135,119,159,0
0,44,29,2,2,1,59,39,130,19,39,69,39,0,29,49,29,39,39,39,0,159,179,159,179,199,179,179,159,199,159,139,39,39,39,199,159,159,139,159,179,159,19,179,159,159,179,79,39,139,99,159,0
1,54,29,3,2,0,59,19,142,99,39,19,9,19,9,149,9,9,19,0,9,179,159,179,179,179,159,179,179,159,159,159,139,99,159,159,139,119,59,99,179,159,39,59,79,99,179,159,39,144,179,159,0
0,64,24,1,2,0,39,39,180,51,35,30,41,20,20,29,33,41,37,33,24,159,159,159,159,159,139,139,139,139,139,139,99,99,99,179,139,139,139,139,179,179,99,139,139,139,179,99,139,102,119,139,1
0,39,34,0,0,1,159,159,169,29,19,59,19,9,59,19,39,29,39,39,29,139,179,159,139,139,99,99,99,99,99,99,39,59,39,199,199,199,39,19,139,79,79,179,179,159,159,59,59,179,99,99,0
1,44,44,0,2,0,119,19,26,30,38,38,38,26,26,31,35,35,35,35,26,139,179,139,179,179,139,159,159,159,99,99,99,119,59,139,119,59,79,59,139,159,139,159,159,79,79,79,19,78,119,139,1
1,24,34,2,1,0,119,159,46,23,26,38,38,38,34,34,42,34,42,29,17,159,199,199,179,159,159,179,159,139,159,119,179,59,199,159,119,139,139,79,139,59,19,179,119,79,119,139,19,135,119,139,1
1,34,84,2,0,0,19,159,41,29,29,59,29,29,19,33,35,55,53,9,9,119,179,179,199,139,119,159,159,79,99,79,39,119,39,119,139,139,139,19,19,199,59,139,99,119,159,19,19,174,139,79,1
0,14,14,2,2,1,159,199,61,39,29,39,29,23,35,39,19,39,39,39,19,159,139,159,159,159,199,199,199,199,199,199,119,159,119,179,159,119,59,99,159,159,99,119,99,119,99,179,59,146,119,199,1
0,44,74,2,2,1,59,59,150,39,19,39,29,29,39,19,39,39,39,19,39,159,179,179,179,139,179,179,179,179,179,179,99,159,99,179,179,179,139,19,79,179,79,179,179,159,159,79,179,159,99,179,1
1,34,39,2,2,1,19,99,17,37,37,37,37,9,37,59,59,79,0,0,0,139,179,79,199,99,139,159,159,139,119,99,39,79,79,159,159,159,139,99,39,119,99,139,159,179,179,139,139,165,99,159,0
0,34,34,4,0,0,39,139,73,29,19,59,19,9,59,39,39,39,39,19,19,159,179,159,159,139,119,199,199,159,159,159,99,99,99,159,179,199,179,19,139,159,119,159,159,159,179,119,139,166,139,179,1
0,54,19,2,3,0,19,39,113,19,39,69,19,9,39,19,39,39,39,39,19,179,199,179,179,179,139,159,159,159,159,139,139,39,159,199,179,179,179,39,179,199,79,199,199,159,199,119,179,105,99,139,0
0,69,14,3,2,0,19,19,155,37,47,41,45,9,15,59,59,59,9,0,9,139,179,139,159,99,79,159,159,99,139,119,139,19,179,179,179,179,59,19,179,179,19,179,199,179,179,99,99,170,139,139,0
0,34,119,2,2,1,159,159,183,47,47,47,47,4,4,30,34,34,34,34,30,139,159,179,179,159,159,159,159,179,179,159,159,159,159,159,139,139,139,159,139,139,139,139,139,139,139,139,119,16,39,159,1
0,59,39,2,3,0,59,99,134,19,39,39,43,11,43,39,49,29,29,29,19,139,179,179,159,179,99,99,119,119,119,39,39,59,79,179,159,119,159,79,139,159,79,119,139,99,159,99,59,170,79,59,0
1,59,59,0,2,0,19,19,4,43,23,59,49,19,1,119,19,19,19,9,9,99,199,119,119,199,199,199,179,199,179,179,139,39,159,99,199,199,139,59,139,179,99,159,199,99,179,139,19,169,139,199,1
1,54,79,0,0,1,19,19,142,3,119,29,15,9,19,79,19,29,19,19,29,159,139,159,159,179,119,139,119,119,119,119,179,79,179,179,159,159,99,119,159,99,99,119,119,59,99,159,99,83,99,119,0
1,54,44,0,2,0,139,19,142,59,29,29,59,0,19,69,59,49,9,0,9,139,159,139,199,159,139,119,139,139,119,99,179,119,159,139,159,139,159,139,179,159,139,159,179,159,199,99,59,99,139,139,1
1,49,74,2,2,1,139,79,142,49,39,19,39,39,9,99,19,19,19,19,19,159,119,179,179,179,99,119,119,119,99,39,139,159,139,139,119,119,59,19,119,139,39,39,39,99,179,79,19,123,139,39,0
1,29,34,0,0,1,79,79,19,39,19,59,39,19,19,33,31,33,33,33,31,139,139,139,139,139,159,119,139,139,119,119,139,139,139,139,99,99,119,139,99,99,139,99,159,99,139,159,99,119,119,159,1
1,49,34,2,4,0,79,119,80,39,39,39,39,19,19,39,39,29,29,9,49,139,179,159,159,139,119,159,179,159,119,139,79,59,159,139,139,179,159,39,59,139,99,139,179,139,159,59,119,175,119,99,0
0,79,89,2,2,1,59,159,13,39,31,31,31,31,31,39,39,39,39,19,19,179,179,159,179,159,99,119,199,79,199,99,99,59,179,199,139,159,99,19,99,179,99,179,199,179,179,99,179,163,39,99,0
0,44,69,0,4,0,19,59,71,39,19,59,39,19,19,19,39,39,29,39,29,99,159,139,159,159,79,159,159,99,159,79,199,159,199,179,159,179,199,19,99,199,139,199,199,159,199,179,59,147,59,119,0
1,69,34,2,4,0,39,119,36,29,5,99,39,3,19,59,19,59,39,19,0,159,99,139,199,179,139,139,159,159,199,139,179,179,179,179,79,79,139,39,99,99,79,79,179,59,99,99,39,78,119,159,1
0,54,34,4,2,0,119,119,160,33,35,55,53,9,9,39,39,39,19,19,39,179,199,179,179,159,139,139,139,179,139,159,159,99,199,199,199,199,159,79,99,99,159,179,179,199,199,139,139,129,179,159,1
0,34,54,3,3,1,19,59,207,59,19,49,39,15,13,19,49,49,39,19,19,159,199,199,159,179,99,59,179,199,179,139,199,119,139,179,179,159,179,19,139,159,19,199,199,199,199,99,179,156,79,139,1
0,44,44,2,3,0,39,39,105,59,49,19,39,0,29,59,29,29,59,0,19,139,139,159,119,79,119,139,159,179,139,159,79,39,179,119,59,59,59,39,139,39,119,39,39,79,139,159,79,113,59,139,0
0,19,39,2,2,1,19,19,43,35,35,35,37,25,27,29,39,39,39,9,39,139,179,179,179,79,119,159,119,139,139,119,39,39,19,79,139,139,39,19,119,79,139,99,199,199,199,39,39,129,119,119,0
1,59,24,2,0,0,19,19,121,39,39,39,39,39,0,41,29,49,34,11,34,139,139,179,159,159,159,159,159,159,159,159,159,39,19,179,119,119,119,79,139,119,79,119,119,119,119,139,39,148,179,159,1
0,39,24,2,2,1,139,79,79,59,0,59,29,29,19,59,19,39,19,19,39,159,179,159,179,179,159,159,139,159,139,159,99,79,159,159,179,179,119,19,59,179,139,179,179,179,199,139,119,160,139,179,1
1,54,44,2,0,0,19,19,82,27,39,39,27,35,27,39,21,39,39,39,21,199,199,199,199,199,139,139,159,99,139,79,159,39,159,159,99,99,99,39,159,179,119,119,179,79,179,139,19,146,159,139,1
